ID,Name,State,Year,Month,Precipitation,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-103,Tehama County,California,2015,March,1.04,-3.97,8,5.01
CA-105,Trinity County,California,2015,March,2.53,-4.88,17,7.41
CA-107,Tulare County,California,2015,March,0.43,-3.25,10,3.68
CA-109,Tuolumne County,California,2015,March,0.68,-5.66,5,6.34
CA-111,Ventura County,California,2015,March,0.69,-3.07,25,3.76
CA-113,Yolo County,California,2015,March,0.17,-2.67,5,2.84
CA-115,Yuba County,California,2015,March,0.48,-5.04,4,5.52
CA-001,Alameda County,California,2015,April,1.15,-0.19,71,1.34
CA-003,Alpine County,California,2015,April,2.52,-0.29,75,2.81
CA-005,Amador County,California,2015,April,3.09,0.13,79,2.96
CA-007,Butte County,California,2015,April,2.24,-1,57,3.24
CA-009,Calaveras County,California,2015,April,2.64,-0.16,74,2.8
CA-011,Colusa County,California,2015,April,1.78,0.46,96,1.32
CA-013,Contra Costa County,California,2015,April,1.09,-0.13,70,1.22
CA-015,Del Norte County,California,2015,April,4.36,-1.36,56,5.72
CA-017,El Dorado County,California,2015,April,3.41,-0.21,74,3.62
CA-019,Fresno County,California,2015,April,1.01,-0.71,51,1.72
CA-021,Glenn County,California,2015,April,1.7,0.02,82,1.68
CA-023,Humboldt County,California,2015,April,3.29,-1.17,52,4.46
CA-025,Imperial County,California,2015,April,0.02,-0.08,56,0.1
CA-027,Inyo County,California,2015,April,0.06,-0.38,22,0.44
CA-029,Kern County,California,2015,April,0.21,-0.55,28,0.76
CA-031,Kings County,California,2015,April,0.48,-0.16,72,0.64
CA-033,Lake County,California,2015,April,2.52,-0.36,72,2.88
CA-035,Lassen County,California,2015,April,0.91,-0.6,39,1.51
CA-037,Los Angeles County,California,2015,April,0.23,-0.89,33,1.12
CA-039,Madera County,California,2015,April,1.69,-0.34,69,2.03
CA-041,Marin County,California,2015,April,1.88,-0.35,71,2.23
CA-043,Mariposa County,California,2015,April,2.11,-0.62,65,2.73
CA-045,Mendocino County,California,2015,April,3.08,-0.35,67,3.43
CA-047,Merced County,California,2015,April,0.66,-0.26,61,0.92
CA-049,Modoc County,California,2015,April,0.77,-0.71,25,1.48
CA-051,Mono County,California,2015,April,0.77,-0.34,57,1.11
CA-053,Monterey County,California,2015,April,1.24,-0.17,73,1.41
CA-055,Napa County,California,2015,April,1.63,-0.28,72,1.91
CA-057,Nevada County,California,2015,April,3.29,-0.5,69,3.79
CA-059,Orange County,California,2015,April,0.22,-0.78,37,1
CA-061,Placer County,California,2015,April,3.23,-0.29,69,3.52
CA-063,Plumas County,California,2015,April,1.86,-1.07,51,2.93
CA-065,Riverside County,California,2015,April,0.2,-0.33,46,0.53
CA-067,Sacramento County,California,2015,April,1.94,0.52,100,1.42
CA-069,San Benito County,California,2015,April,0.95,-0.31,64,1.26
CA-071,San Bernardino County,California,2015,April,0.19,-0.19,59,0.38
CA-073,San Diego County,California,2015,April,0.31,-0.76,33,1.07
CA-075,San Francisco County,California,2015,April,1.54,-0,81,1.54
CA-077,San Joaquin County,California,2015,April,1.04,-0.03,74,1.07
CA-079,San Luis Obispo County,California,2015,April,0.72,-0.55,61,1.27
CA-081,San Mateo County,California,2015,April,1.51,-0.41,68,1.92
CA-083,Santa Barbara County,California,2015,April,0.37,-1.01,40,1.38
CA-085,Santa Clara County,California,2015,April,1.28,-0.38,63,1.66
CA-087,Santa Cruz County,California,2015,April,1.85,-0.35,67,2.2
CA-089,Shasta County,California,2015,April,1.64,-1.57,35,3.21
CA-091,Sierra County,California,2015,April,2.6,-0.72,59,3.32
CA-093,Siskiyou County,California,2015,April,1.15,-1.56,24,2.71
CA-095,Solano County,California,2015,April,1.18,-0.06,78,1.24
CA-097,Sonoma County,California,2015,April,2.07,-0.65,65,2.72
CA-099,Stanislaus County,California,2015,April,0.77,-0.27,60,1.04
CA-101,Sutter County,California,2015,April,1.52,0.25,95,1.27
CA-103,Tehama County,California,2015,April,1.76,-0.92,49,2.68
CA-105,Trinity County,California,2015,April,2.03,-1.98,36,4.01
CA-107,Tulare County,California,2015,April,0.87,-1.17,41,2.04
CA-109,Tuolumne County,California,2015,April,3.29,-0.1,74,3.39
CA-111,Ventura County,California,2015,April,0.32,-1.11,38,1.43
CA-113,Yolo County,California,2015,April,1.31,0.07,85,1.24
CA-115,Yuba County,California,2015,April,2.75,-0.03,82,2.78
CA-001,Alameda County,California,2015,May,0.37,-0.21,62,0.58
CA-003,Alpine County,California,2015,May,2.99,1.18,107,1.81
CA-005,Amador County,California,2015,May,1.39,-0.09,78,1.48
CA-007,Butte County,California,2015,May,0.29,-1.47,20,1.76
CA-009,Calaveras County,California,2015,May,1.18,-0.22,72,1.4
CA-011,Colusa County,California,2015,May,0.08,-0.59,25,0.67
CA-013,Contra Costa County,California,2015,May,0.2,-0.34,51,0.54
CA-015,Del Norte County,California,2015,May,0.68,-3.03,12,3.71
CA-017,El Dorado County,California,2015,May,1.96,-0.04,78,2
CA-019,Fresno County,California,2015,May,1.02,0.19,93,0.83
CA-021,Glenn County,California,2015,May,0.25,-0.6,37,0.85
CA-023,Humboldt County,California,2015,May,0.38,-2.08,14,2.46
CA-025,Imperial County,California,2015,May,0.32,0.28,130,0.04
CA-027,Inyo County,California,2015,May,0.73,0.45,121,0.28
CA-029,Kern County,California,2015,May,0.5,0.21,105,0.3
CA-031,Kings County,California,2015,May,0.28,-0,82,0.28
CA-033,Lake County,California,2015,May,0.21,-1.12,29,1.33
