ID,Name,State,Year,Month,Temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-069,San Benito County,California,2015,March,58.6,9.2,130,49.4
CA-071,San Bernardino County,California,2015,March,63.8,8.4,128,55.4
CA-073,San Diego County,California,2015,March,62.2,8.8,130,53.4
CA-075,San Francisco County,California,2015,March,58.7,6.1,130,52.6
CA-077,San Joaquin County,California,2015,March,61.6,7.6,130,54
CA-079,San Luis Obispo County,California,2015,March,59,8.2,130,50.8
CA-081,San Mateo County,California,2015,March,57.5,6.3,130,51.2
CA-083,Santa Barbara County,California,2015,March,58.9,9,130,49.9
CA-085,Santa Clara County,California,2015,March,58.4,8.2,130,50.2
CA-087,Santa Cruz County,California,2015,March,58.6,7.9,130,50.7
CA-089,Shasta County,California,2015,March,53,7.8,129,45.2
CA-091,Sierra County,California,2015,March,45,8,129,37
CA-093,Siskiyou County,California,2015,March,46.8,7.8,129,39
CA-095,Solano County,California,2015,March,60.5,6.8,129,53.7
CA-097,Sonoma County,California,2015,March,57.4,6.8,130,50.6
CA-099,Stanislaus County,California,2015,March,60.6,7.5,130,53.1
CA-101,Sutter County,California,2015,March,61.8,7.3,130,54.5
CA-103,Tehama County,California,2015,March,56.8,8.2,129,48.6
CA-105,Trinity County,California,2015,March,50.8,7.9,130,42.9
CA-107,Tulare County,California,2015,March,52.5,8.6,129,43.9
CA-109,Tuolumne County,California,2015,March,48.1,8,128,40.1
CA-111,Ventura County,California,2015,March,57.6,9.1,130,48.5
CA-113,Yolo County,California,2015,March,60.5,6.8,129,53.7
CA-115,Yuba County,California,2015,March,59.2,7.5,128,51.7
CA-001,Alameda County,California,2015,April,58,2.8,113,55.2
CA-003,Alpine County,California,2015,April,40.4,1.7,88,38.7
CA-005,Amador County,California,2015,April,55.6,2.4,100,53.2
CA-007,Butte County,California,2015,April,58.4,2.8,101,55.6
CA-009,Calaveras County,California,2015,April,56.1,2.6,104,53.5
CA-011,Colusa County,California,2015,April,61,3.7,114,57.3
CA-013,Contra Costa County,California,2015,April,59.7,3,113,56.7
CA-015,Del Norte County,California,2015,April,49.3,2.3,111,47
CA-017,El Dorado County,California,2015,April,50.8,2.1,95,48.7
CA-019,Fresno County,California,2015,April,53.8,3.1,106,50.7
CA-021,Glenn County,California,2015,April,58.9,3.3,107,55.6
CA-023,Humboldt County,California,2015,April,51.5,1.8,95,49.7
CA-025,Imperial County,California,2015,April,72.9,3.1,107,69.8
CA-027,Inyo County,California,2015,April,58.5,1.8,86,56.7
CA-029,Kern County,California,2015,April,60.2,3.2,104,57
CA-031,Kings County,California,2015,April,64,3.6,112,60.4
CA-033,Lake County,California,2015,April,55.1,3.5,115,51.6
CA-035,Lassen County,California,2015,April,44.3,1.5,85,42.8
CA-037,Los Angeles County,California,2015,April,60.2,4.1,113,56.1
CA-039,Madera County,California,2015,April,54.3,2.8,107,51.5
CA-041,Marin County,California,2015,April,55,2.1,110,52.9
CA-043,Mariposa County,California,2015,April,52.9,2.6,104,50.3
CA-045,Mendocino County,California,2015,April,52.9,2.1,102,50.8
CA-047,Merced County,California,2015,April,61.7,2.9,108,58.8
CA-049,Modoc County,California,2015,April,44.3,1.9,92,42.4
CA-051,Mono County,California,2015,April,41.1,1.7,87,39.4
CA-053,Monterey County,California,2015,April,56.7,2.9,111,53.8
CA-055,Napa County,California,2015,April,58.3,3.2,111,55.1
CA-057,Nevada County,California,2015,April,49.5,1.9,96,47.6
CA-059,Orange County,California,2015,April,63.9,4.6,125,59.3
CA-061,Placer County,California,2015,April,51,2,95,49
CA-063,Plumas County,California,2015,April,44.5,1.3,84,43.2
CA-065,Riverside County,California,2015,April,66.6,2.9,103,63.7
CA-067,Sacramento County,California,2015,April,62,2.9,110,59.1
CA-069,San Benito County,California,2015,April,57,3.7,112,53.4
CA-071,San Bernardino County,California,2015,April,64.5,2.1,90,62.4
CA-073,San Diego County,California,2015,April,61,3.5,113,57.5
CA-075,San Francisco County,California,2015,April,56.6,2.2,111,54.4
CA-077,San Joaquin County,California,2015,April,62,3.1,112,58.9
CA-079,San Luis Obispo County,California,2015,April,57.7,3.4,112,54.3
CA-081,San Mateo County,California,2015,April,55.7,2.6,114,53.1
CA-083,Santa Barbara County,California,2015,April,57.2,4.6,122,52.6
